# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
1.520000000000000000e+02,0.000000000000000000e+00,1.887877227722772773e+02,1.394649465346534726e+03,6.770000000000000284e+01,2.387300594059406365e+02
1.530000000000000000e+02,0.000000000000000000e+00,1.413698019801979910e+02,1.333237475247524799e+03,6.397999999999999687e+01,1.871486138613860817e+02
1.540000000000000000e+02,0.000000000000000000e+00,8.432297029702968416e+01,1.259354871287128617e+03,6.082999999999999829e+01,1.250927920792078964e+02
1.550000000000000000e+02,0.000000000000000000e+00,2.916618497109826436e+01,1.144807803468208022e+03,5.817000000000000171e+01,6.049682080924854688e+01
1.560000000000000000e+02,0.000000000000000000e+00,2.766719653179190530e+01,1.065361416184970949e+03,5.597999999999999687e+01,5.060349710982657712e+01
1.570000000000000000e+02,0.000000000000000000e+00,2.654985549132948108e+01,1.006142341040462497e+03,5.407999999999999829e+01,4.322904624277456520e+01
1.580000000000000000e+02,0.000000000000000000e+00,2.518656069364162065e+01,9.338877167630057556e+02,5.236999999999999744e+01,3.423130057803468418e+01
1.590000000000000000e+02,0.000000000000000000e+00,2.449956647398843756e+01,8.974770231213872194e+02,5.084000000000000341e+01,2.969713872832368651e+01
1.600000000000000000e+02,0.000000000000000000e+00,2.400953757225433449e+01,8.715054913294798098e+02,5.032000000000000028e+01,2.646294797687861333e+01
1.610000000000000000e+02,0.000000000000000000e+00,2.400216763005780507e+01,8.711148843930636758e+02,5.124000000000000199e+01,2.641430635838150565e+01
1.620000000000000000e+02,0.000000000000000000e+00,2.447225433526011784e+01,8.960294797687861319e+02,5.327000000000000313e+01,2.951687861271676283e+01
1.630000000000000000e+02,0.000000000000000000e+00,2.496921965317918790e+01,9.223686416184970085e+02,5.452000000000000313e+01,3.279684971098264867e+01
1.640000000000000000e+02,0.000000000000000000e+00,2.512919075144508696e+01,9.308471098265896444e+02,5.525999999999999801e+01,3.385265895953757820e+01
1.650000000000000000e+02,0.000000000000000000e+00,2.483583815028901753e+01,9.152994219653180608e+02,5.821999999999999886e+01,3.191653179190752354e+01
1.660000000000000000e+02,0.000000000000000000e+00,2.461705202312138852e+01,9.037037572254334918e+02,6.365999999999999659e+01,3.047254335260115354e+01
1.670000000000000000e+02,0.000000000000000000e+00,2.449884393063583587e+01,8.974387283236993653e+02,7.046999999999999886e+01,2.969236994219652459e+01
1.680000000000000000e+02,0.000000000000000000e+00,2.443583815028901896e+01,8.940994219653179016e+02,6.745000000000000284e+01,2.927653179190751587e+01
1.690000000000000000e+02,0.000000000000000000e+00,2.437774566473988358e+01,8.910205202312139363e+02,6.779999999999999716e+01,2.889312138728324086e+01
1.700000000000000000e+02,0.000000000000000000e+00,2.438728323699421807e+01,8.915260115606936324e+02,6.879999999999999716e+01,2.895606936416183785e+01
1.710000000000000000e+02,0.000000000000000000e+00,2.445578034682080926e+01,8.951563583815028551e+02,7.481000000000000227e+01,2.940815028901733186e+01
1.720000000000000000e+02,0.000000000000000000e+00,2.478106936416184780e+01,9.123966763005779512e+02,7.695000000000000284e+01,3.155505780346819833e+01
1.730000000000000000e+02,0.000000000000000000e+00,2.522760115606936537e+01,9.360628612716762973e+02,7.285999999999999943e+01,3.450216763005779796e+01
1.740000000000000000e+02,0.000000000000000000e+00,2.503092485549133173e+01,9.256390173410404714e+02,6.885999999999999943e+01,3.320410404624278300e+01
1.750000000000000000e+02,0.000000000000000000e+00,2.512789017341040321e+01,9.307781791907514162e+02,6.390999999999999659e+01,3.384407514450865762e+01
1.760000000000000000e+02,0.000000000000000000e+00,2.483858381502890111e+01,9.154449421965316560e+02,5.846000000000000085e+01,3.193465317919074309e+01
1.770000000000000000e+02,0.000000000000000000e+00,2.489855491329479875e+01,9.186234104046243374e+02,5.428999999999999915e+01,3.233046242774566537e+01
1.780000000000000000e+02,0.000000000000000000e+00,2.449147398843930645e+01,8.970481213872831177e+02,5.120000000000000284e+01,2.964372832369941335e+01
1.790000000000000000e+02,0.000000000000000000e+00,2.468497109826589764e+01,9.073034682080924540e+02,4.904999999999999716e+01,3.092080924855491730e+01
1.800000000000000000e+02,0.000000000000000000e+00,2.456430635838150067e+01,9.009082369942195783e+02,4.809000000000000341e+01,3.012442196531790728e+01
1.810000000000000000e+02,0.000000000000000000e+00,2.467138728323699581e+01,9.065835260115607070e+02,4.814000000000000057e+01,3.083115606936415887e+01
1.820000000000000000e+02,0.000000000000000000e+00,2.473771676300577838e+01,9.100989884393062539e+02,4.806000000000000227e+01,3.126893063583813870e+01
1.830000000000000000e+02,0.000000000000000000e+00,2.403786127167630227e+01,8.730066473988439384e+02,4.660000000000000142e+01,2.664988439306359069e+01
1.840000000000000000e+02,0.000000000000000000e+00,2.345751445086705189e+01,8.422482658959537503e+02,4.478000000000000114e+01,2.281959537572254249e+01
1.850000000000000000e+02,0.000000000000000000e+00,2.308973988439306169e+01,8.227562138728322907e+02,4.300000000000000000e+01,2.039228323699421352e+01
1.860000000000000000e+02,0.000000000000000000e+00,2.279898843930635977e+01,8.073463872832370498e+02,4.125999999999999801e+01,1.847332369942196806e+01
1.870000000000000000e+02,2.000000000000000000e+00,2.288005780346820828e+01,8.096430635838149783e+02,3.967000000000000171e+01,0.000000000000000000e+00
1.880000000000000000e+02,2.000000000000000000e+00,2.417268786127167601e+01,8.781524566473988216e+02,3.838000000000000256e+01,2.753973988439306098e+01
1.890000000000000000e+02,2.000000000000000000e+00,2.555953757225433520e+01,9.516554913294799007e+02,3.750000000000000000e+01,3.669294797687861376e+01
1.900000000000000000e+02,2.000000000000000000e+00,2.581488439306358629e+01,9.651888728323699524e+02,4.592000000000000171e+01,3.837823699421966239e+01
1.910000000000000000e+02,2.000000000000000000e+00,2.535953757225433591e+01,9.410554913294797643e+02,5.632000000000000028e+01,3.537294797687862058e+01
1.920000000000000000e+02,2.000000000000000000e+00,2.433901734104046000e+01,8.869679190751444366e+02,6.665999999999999659e+01,2.863751445086704805e+01
1.930000000000000000e+02,2.000000000000000000e+00,2.392138728323699226e+01,8.648335260115605934e+02,7.548000000000000398e+01,2.588115606936414892e+01
1.940000000000000000e+02,2.000000000000000000e+00,2.398497109826589480e+01,8.682034682080924313e+02,6.835999999999999943e+01,2.630080924855490920e+01
1.950000000000000000e+02,2.000000000000000000e+00,2.343641618497109746e+01,8.391300578034681621e+02,5.971999999999999886e+01,2.268034682080924114e+01
1.960000000000000000e+02,2.000000000000000000e+00,2.228554913294797757e+01,7.781341040462427827e+02,5.574000000000000199e+01,1.508462427745665480e+01
1.970000000000000000e+02,2.000000000000000000e+00,2.142095375722543338e+01,7.323105491329480401e+02,5.527000000000000313e+01,0.000000000000000000e+00
1.980000000000000000e+02,2.000000000000000000e+00,2.090997109826589551e+01,7.052284682080925222e+02,5.315999999999999659e+01,0.000000000000000000e+00
1.990000000000000000e+02,2.000000000000000000e+00,2.063887283236994108e+01,6.908602601156069341e+02,5.171000000000000085e+01,0.000000000000000000e+00
2.000000000000000000e+02,2.000000000000000000e+00,2.049942196531791794e+01,6.834693641618496258e+02,5.071000000000000085e+01,0.000000000000000000e+00
2.010000000000000000e+02,2.000000000000000000e+00,2.025404624277456733e+01,6.704644508670520509e+02,4.824000000000000199e+01,0.000000000000000000e+00
2.020000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,6.553053125000000136e+02,4.556000000000000227e+01,0.000000000000000000e+00
2.030000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,6.376738839285715130e+02,4.288000000000000256e+01,0.000000000000000000e+00
2.040000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,6.150752678571427623e+02,4.053000000000000114e+01,0.000000000000000000e+00
2.050000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,6.097991964285714630e+02,4.232999999999999829e+01,0.000000000000000000e+00
2.060000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,6.444526339285714585e+02,4.754999999999999716e+01,0.000000000000000000e+00
2.070000000000000000e+02,2.000000000000000000e+00,2.095202312138728473e+01,7.074572254335259913e+02,5.029999999999999716e+01,0.000000000000000000e+00
2.080000000000000000e+02,2.000000000000000000e+00,2.204754335260115639e+01,7.655197976878613417e+02,5.253000000000000114e+01,0.000000000000000000e+00
2.090000000000000000e+02,2.000000000000000000e+00,2.261806358381502946e+01,7.957573699421966467e+02,5.286999999999999744e+01,0.000000000000000000e+00
2.100000000000000000e+02,2.000000000000000000e+00,2.219089595375722368e+01,7.731174855491328799e+02,4.956000000000000227e+01,0.000000000000000000e+00
2.110000000000000000e+02,2.000000000000000000e+00,2.156473988439306311e+01,7.399312138728323589e+02,4.565999999999999659e+01,0.000000000000000000e+00
2.120000000000000000e+02,2.000000000000000000e+00,2.097341040462427841e+01,7.085907514450867666e+02,4.246000000000000085e+01,0.000000000000000000e+00
2.130000000000000000e+02,2.000000000000000000e+00,2.063713872832369844e+01,6.907683526011560389e+02,3.975000000000000000e+01,0.000000000000000000e+00
2.140000000000000000e+02,2.000000000000000000e+00,2.101893063583814936e+01,7.110033236994219124e+02,3.743999999999999773e+01,0.000000000000000000e+00
2.150000000000000000e+02,2.000000000000000000e+00,2.279132947976878754e+01,8.049404624277457287e+02,3.581000000000000227e+01,0.000000000000000000e+00
2.160000000000000000e+02,2.000000000000000000e+00,2.423598265895953929e+01,8.815070809248555861e+02,3.564000000000000057e+01,2.795748554913295791e+01
