# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
1.520000000000000000e+02,0.000000000000000000e+00,1.832182178217822184e+02,1.372436277227722712e+03,1.216899999999999977e+02,2.326715247524752783e+02,1.967440000000000055e+03
1.530000000000000000e+02,0.000000000000000000e+00,1.507348514851485675e+02,1.330366356435643638e+03,1.198900000000000006e+02,1.973359603960396385e+02,1.887420000000000073e+03
1.540000000000000000e+02,0.000000000000000000e+00,1.428190099009901246e+02,1.320114376237623901e+03,1.165000000000000000e+02,1.887250693069307204e+02,1.867920000000000073e+03
1.550000000000000000e+02,0.000000000000000000e+00,1.316069306930693017e+02,1.305593366336633608e+03,1.119500000000000028e+02,1.765285148514851130e+02,1.840299999999999955e+03
1.560000000000000000e+02,0.000000000000000000e+00,1.189172277227722674e+02,1.289158653465346561e+03,1.079599999999999937e+02,1.627245940594059448e+02,1.809039999999999964e+03
1.570000000000000000e+02,0.000000000000000000e+00,1.121380198019801639e+02,1.280378752475247438e+03,1.048900000000000006e+02,1.553501386138613611e+02,1.792339999999999918e+03
1.580000000000000000e+02,0.000000000000000000e+00,1.053060396039604001e+02,1.271530504950495015e+03,1.019200000000000017e+02,1.479182772277227684e+02,1.775509999999999991e+03
1.590000000000000000e+02,0.000000000000000000e+00,1.007676237623762177e+02,1.265652702970297014e+03,9.865000000000000568e+01,1.429813663366336414e+02,1.764329999999999927e+03
1.600000000000000000e+02,0.000000000000000000e+00,9.251485148514851176e+01,1.254964356435643595e+03,9.450000000000000000e+01,1.340039603960395880e+02,1.744000000000000000e+03
1.610000000000000000e+02,0.000000000000000000e+00,8.705495049504949634e+01,1.247893118811881095e+03,9.181999999999999318e+01,1.280646534653465096e+02,1.730549999999999955e+03
1.620000000000000000e+02,0.000000000000000000e+00,1.095359405940594399e+02,1.277008742574257440e+03,9.217000000000000171e+01,1.525195841584158529e+02,1.785930000000000064e+03
1.630000000000000000e+02,0.000000000000000000e+00,1.539986138613861613e+02,1.334593326732673177e+03,9.412000000000000455e+01,2.008862970297029733e+02,1.895460000000000036e+03
1.640000000000000000e+02,0.000000000000000000e+00,1.852885148514851323e+02,1.375117564356435651e+03,9.437000000000000455e+01,2.349236039603960364e+02,1.972539999999999964e+03
1.650000000000000000e+02,0.000000000000000000e+00,1.692498019801980149e+02,1.354345475247524746e+03,9.223000000000000398e+01,2.174766138613861415e+02,1.933029999999999973e+03
1.660000000000000000e+02,0.000000000000000000e+00,1.399205940594059427e+02,1.316360574257425696e+03,8.882999999999999829e+01,1.855721584158415567e+02,1.860779999999999973e+03
1.670000000000000000e+02,0.000000000000000000e+00,1.013643564356435576e+02,1.266425544554455428e+03,8.532999999999999829e+01,1.436304950495049297e+02,1.765799999999999955e+03
1.680000000000000000e+02,0.000000000000000000e+00,8.104702970297029196e+01,1.240112128712871254e+03,8.232999999999999829e+01,1.215292079207920892e+02,1.715750000000000000e+03
1.690000000000000000e+02,0.000000000000000000e+00,6.655900990099007686e+01,1.221348376237623825e+03,7.964000000000000057e+01,1.057690693069306747e+02,1.680059999999999945e+03
