# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
215,2,24.05130058,871.7189306,61.54,26.73858382
216,2,23.92066474,864.7952312,57.11,25.87638728
217,2,23.04407514,818.3359827,53.41,20.09089595
218,2,22.39089595,783.7174855,50.16,15.77991329
219,2,21.64855491,744.3734104,46.71,0
220,2,20.55736994,686.5406069,44.14,0
221,2,20,645.4043304,42.25,0
222,2,20,622.6220536,40.85,0
223,2,20,598.9381696,39.61,0
224,2,20,582.6675,38.5,0
225,2,20,562.5816964,37.38,0
226,2,20,554.8929911,36.37,0
227,2,20,544.6163393,35.8,0
228,2,20,536.1345536,35.66,0
229,2,20,533.2460714,35.64,0
230,2,20,525.7159821,35.92,0
231,2,20,520.4232143,37.26,0
232,2,20,511.9247321,37.17,0
233,2,20,506.7655357,36.89,0
234,2,20,503.4512946,36.64,0
235,2,20,498.0416518,36.17,0
236,2,20,499.4191071,35.67,0
237,2,20,507.5836607,35.12,0
238,2,20,515.9151786,35,0
239,2,20,519.3129018,35.63,0
240,2,20,522.0177232,36.7,0
241,2,20,526.6593304,37.38,0
242,2,20,542.4374554,53.32,0
243,2,20,635.9708482,73.14,0
244,2,21.91026012,758.2437861,69.39,0
245,2,22.06936416,766.6763006,63.82,0
246,2,21.28410405,725.0575145,57.49,0
247,2,20.92210983,705.8718208,59.56,0
248,2,21.3316474,727.5773121,62.72,0
249,2,21.4617052,734.4703757,59.13,0
250,2,20.91199422,705.3356936,57.04,0
251,2,20.37615607,676.9362717,54.4,0
252,2,20,653.6022768,50.44,0
253,2,20,644.5862054,46.78,0
254,2,20,626.8295536,43.89,0
