# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
2.27E+02,0.00E+00,2.00E+01,9.03E+02,8.55E+01,0.00E+00
2.28E+02,0.00E+00,2.00E+01,8.82E+02,8.98E+01,0.00E+00
2.29E+02,0.00E+00,2.00E+01,8.49E+02,1.01E+02,0.00E+00
2.30E+02,0.00E+00,2.00E+01,7.78E+02,1.09E+02,0.00E+00
2.31E+02,0.00E+00,2.00E+01,7.43E+02,1.07E+02,0.00E+00
2.32E+02,0.00E+00,2.00E+01,7.11E+02,1.02E+02,0.00E+00
2.33E+02,0.00E+00,2.00E+01,6.57E+02,9.60E+01,0.00E+00
2.34E+02,0.00E+00,2.00E+01,6.33E+02,9.15E+01,0.00E+00
2.35E+02,0.00E+00,2.00E+01,6.11E+02,9.56E+01,0.00E+00
2.36E+02,0.00E+00,2.00E+01,6.00E+02,9.85E+01,0.00E+00
2.37E+02,0.00E+00,2.00E+01,5.87E+02,1.02E+02,0.00E+00
2.38E+02,0.00E+00,2.00E+01,5.83E+02,1.03E+02,0.00E+00
2.39E+02,0.00E+00,2.00E+01,5.87E+02,9.89E+01,0.00E+00
2.40E+02,0.00E+00,2.00E+01,5.91E+02,9.66E+01,0.00E+00
2.41E+02,0.00E+00,2.00E+01,5.93E+02,9.65E+01,0.00E+00
2.42E+02,0.00E+00,2.00E+01,5.94E+02,9.75E+01,0.00E+00
2.43E+02,0.00E+00,2.00E+01,5.94E+02,1.01E+02,0.00E+00
2.44E+02,0.00E+00,2.00E+01,5.94E+02,1.08E+02,0.00E+00
2.45E+02,0.00E+00,2.00E+01,5.86E+02,1.11E+02,0.00E+00
2.46E+02,0.00E+00,2.00E+01,5.84E+02,1.10E+02,0.00E+00
2.47E+02,0.00E+00,2.00E+01,5.88E+02,1.07E+02,0.00E+00
2.48E+02,0.00E+00,2.00E+01,5.88E+02,1.08E+02,0.00E+00
2.49E+02,0.00E+00,2.00E+01,5.96E+02,1.12E+02,0.00E+00
2.50E+02,0.00E+00,2.00E+01,6.08E+02,1.12E+02,0.00E+00
2.51E+02,0.00E+00,2.00E+01,6.25E+02,1.08E+02,0.00E+00
2.52E+02,0.00E+00,2.00E+01,6.33E+02,1.07E+02,0.00E+00
2.53E+02,0.00E+00,2.00E+01,6.30E+02,1.22E+02,0.00E+00
2.54E+02,0.00E+00,2.00E+01,6.25E+02,1.42E+02,0.00E+00
2.55E+02,0.00E+00,2.00E+01,6.19E+02,1.51E+02,0.00E+00
2.56E+02,0.00E+00,2.00E+01,6.13E+02,1.56E+02,0.00E+00
2.57E+02,0.00E+00,2.00E+01,6.13E+02,1.69E+02,0.00E+00
2.58E+02,0.00E+00,2.00E+01,6.14E+02,1.80E+02,0.00E+00
2.59E+02,0.00E+00,2.00E+01,6.14E+02,1.75E+02,0.00E+00
