# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet,Lobith
2.130000000000000000e+02,0.000000000000000000e+00,2.548916184971098886e+01,1.078370231213873012e+03,4.282000000000000028e+01,5.409138728323699752e+01,1.465140000000000100e+03
2.140000000000000000e+02,0.000000000000000000e+00,2.884212427745665153e+01,1.149453034682080897e+03,4.253000000000000114e+01,6.294320809248554838e+01,1.557950000000000045e+03
2.150000000000000000e+02,0.000000000000000000e+00,2.827023121387282956e+01,1.137328901734103965e+03,4.188000000000000256e+01,6.143341040462426150e+01,1.542119999999999891e+03
2.160000000000000000e+02,0.000000000000000000e+00,2.548338150289017534e+01,1.078247687861271743e+03,4.260999999999999943e+01,5.407612716763005523e+01,1.464980000000000018e+03
2.170000000000000000e+02,0.000000000000000000e+00,2.318352601156069426e+01,1.029490751445086516e+03,4.581000000000000227e+01,4.800450867052022375e+01,1.401319999999999936e+03
2.180000000000000000e+02,0.000000000000000000e+00,2.101986994219653582e+01,9.836212427745665536e+02,6.576999999999999602e+01,4.229245664739885058e+01,1.341430000000000064e+03
2.190000000000000000e+02,0.000000000000000000e+00,2.073518786127167601e+01,9.775859826589594377e+02,9.440000000000000568e+01,4.154089595375722155e+01,1.333549999999999955e+03
2.200000000000000000e+02,0.000000000000000000e+00,2.216329479768786115e+01,1.007861849710982597e+03,1.010999999999999943e+02,4.531109826589594292e+01,1.373079999999999927e+03
2.210000000000000000e+02,0.000000000000000000e+00,2.179515895953757720e+01,1.000057369942196601e+03,9.123000000000000398e+01,4.433921965317919955e+01,1.362890000000000100e+03
2.220000000000000000e+02,0.000000000000000000e+00,1.980671965317918648e+01,9.579024566473988216e+02,7.781999999999999318e+01,3.908973988439305458e+01,1.307849999999999909e+03
2.230000000000000000e+02,0.000000000000000000e+00,1.853251445086705118e+01,9.308893063583814182e+02,6.971999999999999886e+01,3.572583815028900744e+01,1.272579999999999927e+03
2.240000000000000000e+02,0.000000000000000000e+00,1.782911849710982466e+01,9.159773121387281662e+02,6.689000000000000057e+01,3.386887283236993085e+01,1.253109999999999900e+03
2.250000000000000000e+02,0.000000000000000000e+00,1.815895953757225811e+01,9.229699421965317470e+02,6.420999999999999375e+01,3.473965317919075346e+01,1.262240000000000009e+03
2.260000000000000000e+02,0.000000000000000000e+00,1.879732658959537872e+01,9.365033236994220260e+02,6.121000000000000085e+01,3.642494219653179499e+01,1.279910000000000082e+03
2.270000000000000000e+02,0.000000000000000000e+00,1.924963872832370271e+01,9.460923410404625429e+02,5.953999999999999915e+01,3.761904624277457287e+01,1.292430000000000064e+03
2.280000000000000000e+02,0.000000000000000000e+00,1.873591040462427770e+01,9.352013005780347612e+02,5.742999999999999972e+01,3.626280346820809086e+01,1.278210000000000036e+03
2.290000000000000000e+02,0.000000000000000000e+00,1.786271676300577838e+01,9.166895953757225470e+02,5.428999999999999915e+01,3.395757225433525406e+01,1.254039999999999964e+03
2.300000000000000000e+02,0.000000000000000000e+00,1.609537572254335203e+01,8.792219653179189436e+02,5.125999999999999801e+01,2.929179190751443684e+01,1.205119999999999891e+03
2.310000000000000000e+02,0.000000000000000000e+00,1.408562138728323809e+01,8.366151734104046227e+02,4.868999999999999773e+01,2.398604046242774501e+01,1.149490000000000009e+03
2.320000000000000000e+02,0.000000000000000000e+00,1.274602601156069781e+01,8.082157514450867666e+02,4.654999999999999716e+01,2.044950867052023824e+01,1.112410000000000082e+03
2.330000000000000000e+02,0.000000000000000000e+00,1.190426300578034358e+01,7.903703757225432582e+02,4.524000000000000199e+01,1.822725433526010619e+01,1.089109999999999900e+03
2.340000000000000000e+02,0.000000000000000000e+00,1.132261560693641655e+01,7.780394508670519826e+02,4.465999999999999659e+01,0.000000000000000000e+00,1.073009999999999991e+03
2.350000000000000000e+02,0.000000000000000000e+00,9.229768786127170443e+00,7.336710982658960347e+02,6.111999999999999744e+01,0.000000000000000000e+00,1.015080000000000041e+03
2.360000000000000000e+02,0.000000000000000000e+00,9.200867052023120607e+00,7.330583815028901427e+02,9.026000000000000512e+01,0.000000000000000000e+00,1.014279999999999973e+03
2.370000000000000000e+02,2.000000000000000000e+00,1.185765895953757010e+01,7.873823699421964193e+02,1.092900000000000063e+02,0.000000000000000000e+00,1.087819999999999936e+03
2.380000000000000000e+02,2.000000000000000000e+00,1.302348265895953539e+01,8.120978323699421253e+02,1.042600000000000051e+02,2.118199421965316986e+01,1.120089999999999918e+03
2.390000000000000000e+02,2.000000000000000000e+00,1.331213872832369738e+01,8.182173410404623155e+02,9.271999999999999886e+01,2.194404624277455795e+01,1.128079999999999927e+03
2.400000000000000000e+02,2.000000000000000000e+00,1.524169075144508767e+01,8.591238439306358714e+02,8.712000000000000455e+01,2.703806358381502761e+01,1.181490000000000009e+03
2.410000000000000000e+02,2.000000000000000000e+00,1.633020231213872364e+01,8.822002890173409924e+02,8.329999999999999716e+01,2.991173410404623212e+01,1.211619999999999891e+03
2.420000000000000000e+02,2.000000000000000000e+00,1.616835260115607298e+01,8.787690751445087471e+02,7.940000000000000568e+01,2.948445086705202911e+01,1.207140000000000100e+03
2.430000000000000000e+02,2.000000000000000000e+00,1.528070809248554696e+01,8.599510115606935869e+02,7.254999999999999716e+01,2.714106936416184368e+01,1.182569999999999936e+03
